n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,fracture_threshold_1e6,fracture_class
19320,19321,0,992753,992753,992753,200000,EXTREME
19321,19322,992753,0,-992753,992753,200000,EXTREME
18768,18769,0,992647,992647,992647,200000,EXTREME
18769,18770,992647,0,-992647,992647,200000,EXTREME
19042,19043,0,992647,992647,992647,200000,EXTREME
19043,19044,992647,0,-992647,992647,200000,EXTREME
17160,17161,0,992307,992307,992307,200000,EXTREME
17161,17162,992307,0,-992307,992307,200000,EXTREME
16128,16129,0,992063,992063,992063,200000,EXTREME
16129,16130,992063,0,-992063,992063,200000,EXTREME
12768,12769,0,991071,991071,991071,200000,EXTREME
12769,12770,991071,0,-991071,991071,200000,EXTREME
11880,11881,0,990740,990740,990740,200000,EXTREME
11881,11882,990740,0,-990740,990740,200000,EXTREME
11448,11449,0,990566,990566,990566,200000,EXTREME
11449,11450,990566,0,-990566,990566,200000,EXTREME
11662,11663,0,990566,990566,990566,200000,EXTREME
11663,11664,990566,0,-990566,990566,200000,EXTREME
10608,10609,0,990196,990196,990196,200000,EXTREME
10609,10610,990196,0,-990196,990196,200000,EXTREME
10200,10201,0,990000,990000,990000,200000,EXTREME
10201,10202,990000,0,-990000,990000,200000,EXTREME
10402,10403,0,990000,990000,990000,200000,EXTREME
10403,10404,990000,0,-990000,990000,200000,EXTREME
9408,9409,0,989583,989583,989583,200000,EXTREME
9409,9410,989583,0,-989583,989583,200000,EXTREME
7920,7921,0,988636,988636,988636,200000,EXTREME
7921,7922,988636,0,-988636,988636,200000,EXTREME
6888,6889,0,987804,987804,987804,200000,EXTREME
6889,6890,987804,0,-987804,987804,200000,EXTREME
6240,6241,0,987179,987179,987179,200000,EXTREME
6241,6242,987179,0,-987179,987179,200000,EXTREME
5328,5329,0,986111,986111,986111,200000,EXTREME
5329,5330,986111,0,-986111,986111,200000,EXTREME
5040,5041,0,985714,985714,985714,200000,EXTREME
5041,5042,985714,0,-985714,985714,200000,EXTREME
5182,5183,0,985714,985714,985714,200000,EXTREME
5183,5184,985714,0,-985714,985714,200000,EXTREME
4488,4489,0,984848,984848,984848,200000,EXTREME
4489,4490,984848,0,-984848,984848,200000,EXTREME
16636,16637,0,984251,984251,984251,200000,EXTREME
16637,16638,984251,0,-984251,984251,200000,EXTREME
3720,3721,0,983333,983333,983333,200000,EXTREME
3721,3722,983333,0,-983333,983333,200000,EXTREME
3480,3481,0,982758,982758,982758,200000,EXTREME
3481,3482,982758,0,-982758,982758,200000,EXTREME
3598,3599,0,982758,982758,982758,200000,EXTREME
3599,3600,982758,0,-982758,982758,200000,EXTREME
12316,12317,0,981651,981651,981651,200000,EXTREME
12317,12318,981651,0,-981651,981651,200000,EXTREME
